plate_id,original_image,confidence
17_0,0604/BOFT/20241123080047-704079-event-AW9080.jpg,0.5394585728645325
50_0,0604/BOFT/20241123185048-592416-event-AAR6156.jpg,0.8745867013931274
380_0,0604/BOFT/20241201124510-359907-event-AF7560.jpg,0.3728681802749634
744_0,0604/BOFT/20241209122225-359404-event-S1115.jpg,0.5811043977737427
776_0,0604/BOFT/20241210093451-604170-event-UU6291.jpg,0.3784860074520111
940_0,0604/BOFT/F5219H001080726-80715.jpg,0.841255784034729
966_0,0604/BOFT/F5219H001082915-82910.jpg,0.8616094589233398
981_0,0604/BOFT/F5219H001084856-84900.jpg,0.8961081504821777
999_0,0604/BOFT/F5219H001092912-92906.jpg,0.7754935622215271
1022_0,0604/BOFT/F5219H001100716-100718.jpg,0.5138409733772278
